File|Sentence
Cell_Mol_Immunol_2016_Sep_11_13(5)_578-583.txt|b'Here, we report that neddylation inhibition with MLN4924 or upon UBA3 deficiency led to accumulation of phosphorylated I\xce\xbaB\xce\xb1, impaired I\xce\xbaB\xce\xb1 degradation, and impaired NF-\xce\xbaB nuclear translocation in the early phase of HSV-1 infection even though phosphorylation and nuclear translocation of IRF3 were not affected.'
Cell_Stress_Chaperones_2015_Nov_6_20(6)_951-957.txt|b'An interaction between HtpG and DnaA, the main initiator of DNA replication, was studied both in vivo, using a bacterial two-hybrid system, and in vitro with a modified pull-down assay and by chemical cross-linking.'
Chembiochem_2013_Oct_11_14(15)_1973-1981.txt|b'The structure of a NagZ\xe2\x80\x93inhibitor complex provides insight into the molecular basis for inhibition by these compounds.'
Chemistry_2013_Nov_4_19(45)_15199-15209.txt|b'However, no direct effect on tubulin polymerization was found for 2 and 4, an observation that appears to indicate a novel mechanism of action.'
Child_Adolesc_Ment_Health_2015_Nov_18_20(4)_210-217.txt|b'Results The final Healthy-Unhealthy Music Scale (HUMS) consists of 13 items that are divided into Healthy and Unhealthy subscales.'
Clin_Exp_Med_2016_May_24_16_317-332.txt|b'Our study showed that CTLA-4 affects the expression of the key regulators of G1 phase progression in CLL cells as well as in normal B lymphocytes and may contribute to a better understanding of the role of CTLA-4 in the regulation of G1 phase progression.'
Cogn_Dev_2013_Jul_28(3)_290-299.txt|b'Recent research on risky decision-making in adults has shown that both the risk in potential outcomes and their valence (i.e., whether those outcomes involve gains or losses) exert dissociable influences on decisions.'
Comput_Biol_Chem_2016_Aug_63_52-61.txt|b'Conclusions Taken together, this analysis demonstrates the divergent characteristics of genes based on their CV.'
Comput_Methods_Appl_Mech_Eng_2015_Jun_15_290_362-386.txt|b'Numerical experiments underline the theoretical findings and show that the proposed adaptive strategy leads to optimal convergence.'
Conscious_Cogn_2014_Jul_27(100)_233-245.txt|b'Thus, we conclude that conscious awareness might be a prerequisite for holistic face processing.'
Contemp_Clin_Trials_2013_Sep_36(1)_68-80.txt|b'We describe the study design of an investigator-led UK multi-centre, single arm trial using HIFU to deliver focal therapy for men with localised prostate cancer.'
Crim_Justice_Behav_2014_Dec_41(12)_1437-1457.txt|b'Overall, these results indicated that the YLS/CMI-SV is a useful measure for assessing the levels of risk for male youth offenders, and more investigation is needed to determine the suitability of the YLS/CMI-SV for the female youth offenders.'
Curr_Genet_2016_Jan_21_62_595-605.txt|b'Taking these findings together, we conclude that the main components of the PHO pathway identified in S.\xc2\xa0cerevisiae are conserved in the methylotrophic yeast H.\xc2\xa0polymorpha, even though these organisms separated from each other before duplication of the whole genome.'
Curr_Microbiol_2016_Jun_21_73(4)_463-473.txt|b'Our results indicate a diverse wound microbiota including fifty-three bacterial species that showed 90\xc2\xa0% colonization by at least one species of Staphylococcus.'
Development_2014_Dec_15_141(24)_4827-4830.txt|b'Here we show by phenotypic rescue that the CRISPR/Cas system can be used to target and repair a premature stop codon at the albino (alb) locus in zebrafish with high efficiency and precision.'
Dev_Cell_2013_Aug_26_26(4)_381-392.txt|b'We show that PHD1 function is required for centrosome duplication and maturation through modification of the critical centrosome component Cep192.'
Dyslexia_2012_Feb_18(1)_1-15.txt|b'Results A confirmatory factor analysis with four factors (Reading, Word Finding, Attention and Hyperactivity) provided a reasonable fit to the data.'
Ecology_2016_Aug_1_97(8)_1919-1928.txt|b'This study integrates a unique set of demographic and covariate data and highlights the benefits of using a single estimation framework to examine the links between covariates, demographic rates and population dynamics.'
EMBO_Rep_2013_Jul_17_14(7)_622-628.txt|b'We demonstrate that the stimulating effects of the intron mostly reside in the 5\xe2\x80\xb2ss rather than on a genuine splicing event.'
Emotion_2014_Oct_25_14(5)_995-1006.txt|b'The study used Askew and Field\xe2\x80\x99s (2007) vicarious learning procedure and demonstrated fear-related increases in children\xe2\x80\x99s cognitive, behavioral, and physiological responses.'
Energy_Convers_Manag_2016_Jun_15_118_364-376.txt|b'This study shows that the maximum recoverable exergy potential from an average adult moist human faeces can be up to 15\xc2\xa0MJ/kg, when the gasifier is operated at optimum equivalence ratio of 0.57, excluding heat losses, distribution or other losses that result from operational activities.'
Environ_Chem_Lett_2016_Jul_21_14(3)_331-344.txt|b'We found that a gain of microbial richness and evenness enhances soil C and N dynamics on the average, though the improvement of C and N dynamics depends on the composition of microbial community.'
Euro_Surveill_2016_Aug_18_21(33)_30320.txt|b'Our study demonstrated that the mumps outbreak in England 2004/05 resulted in a substantial increase in hospitalised mumps complications, and the model we used can improve the ascertainment of morbidity from a mumps outbreak.'
Eur_J_Cell_Biol_2013_Jun_92(6-7)_222-228.txt|b'These results suggest further conservation for the role of GSK-3 in the regulation of spindle dynamics during mitosis, but also reveal differences in the mechanisms ensuring accurate chromosome segregation.'
Eur_J_Heart_Fail_2013_Dec_11_15(12)_1335-1342.txt|b'This analysis suggests that the potential for further significant reduction in emergency HF admissions by improving clinical quality of primary care (as currently measured) may be limited.'
Eur_J_Med_Res_2012_Dec_22_17(1)_30.txt|b'Conclusion Our results suggest that obesity, intraperitoneal fat volume, and a longer cumulative duration spent in the prone position may put patients with ARDS at risk of developing SC-CIP.'
Eur_J_Psychol_2015_May_29_11(2)_214-232.txt|b'The results showed that depressive symptoms decreased both at 96 hours and at 3 months as a result of making-sense task.'
Evol_Dev_2013_Jul_16_15(4)_257-267.txt|b'Our results suggest that different loci that act at different developmental stages underlie changes in eye size and FW.'
Exp_Brain_Res_2016_Oct_26_234_419-428.txt|b'Hence, this study is the first to show that aging slows down voluntary goal-directed movement control processes to greater extent than the automatic stimulus-driven processes.'
Front_Aging_Neurosci_2013_Dec_6_5_88.txt|b'Our findings reinforce the importance of (unliganded) iron in AD, and suggest the possibility both of an early diagnosis and some means of treating or slowing down the progress of this disease.'
Genetics_2016_Nov_15_204(3)_1307-1319.txt|b'Overall, our results suggest that, even for potentially simpler traits like pigmentation, the complexity of adaptive trait evolution poses important challenges for QTL mapping and population genetic analysis.'
Gut_2016_Jan_12_65(1)_91-99.txt|b'Conclusions This study does not support any clinically meaningful benefit or harm of mesalazine compared with placebo in unselected patients with IBS-D. More precise subtyping based on underlying disease mechanisms is needed to allow more effective targeting of treatment in IBS.'
Headache_2013_Sep_11_53_72-84.txt|b'Multiple studies of drug deposition, including comparisons of traditional nasal sprays to Breath Powered delivery, demonstrate significantly improved deposition to superior and posterior intranasal target sites beyond the nasal valve.'
Heart_2016_May_15_102(10)_735-740.txt|b'Results The overall risk of SCD or appropriate ICD shock was 2.1 events per 100 patient-years (95% CI 1.7 to 2.6).'
Hum_Reprod_2014_Oct_10_29(10)_2317-2325.txt|b'and M.-R.J. Study funding was also received from Oulu University Hospital Research Funds, Sigrid Juselius Foundation and the Academy of Finland.'
Immunity_2010_Aug_27_33(2-2)_279-288.txt|b'Together, these results highlight the multiple functions of IL-23 signaling in T\xc2\xa0cells that contribute to its colitogenic activity.'
Inj_Epidemiol_2014_Sep_2_1(1)_18.txt|b'Results Of those eligible, 82% (n =\xe2\x80\x89178) of younger adult and 91% (n =\xe2\x80\x89134) of older adult patients participated, approximately half were women.'
Inj_Epidemiol_2016_Jan_5_3_1.txt|b'Altogether, we found that the results support the use of our algorithm for identifying episodes of care for fall-related injuries.'
Isr_J_Chem_2011_Nov_5_51(8-9)_885-899.txt|b'We have found that several peptide thioesters can be readily prepared and, what\xe2\x80\x99s more, there appears to be ample opportunity for further development and discovery.'
J_Eat_Disord_2013_Aug_8_1_26.txt|b'These findings suggest that classificatory systems of mental illnesses should consider introducing SBEs as a feature of the diagnostic criteria for binge eating and, thus, facilitate the inclusion of participants with SBEs in treatment trials.'
J_Eat_Disord_2015_Mar_31_3_11.txt|b'Specifically, patients suffering from anorexia nervosa (AN) have a litany of medical complications which are commonly present as part of their eating disorders.'
J_Eat_Disord_2016_May_3_4_14.txt|b'Furthermore, our findings suggest that there may be a similar underlying fear of losing self-control among individuals who engage in disordered eating and obsessive-compulsive behaviours.'
J_Eur_Soc_Policy_2015_Dec_25(5)_489-504.txt|b'Occupational pensions in the same economic sectors across countries are then used as the units of analysis in order to illustrate the plausible determinants of economic individual power and political collective power.'
J_Food_Sci_2010_Sep_75(7)_R131-R138.txt|b'Sensitivity analysis indicates that reducing the estimated Km parameter for LOX isozyme 3 (L-3) would improve the fit between model predictions and experimental results found in the literature.'
J_Health_Commun_2016_Jan_2_21(1)_676-75.txt|b'Financial support for this study was provided by a contract with UnitedHealthcare, Optum Institute.'
J_Homosex_2013_Oct_23_60(10)_1434-1449.txt|b'The results indicated that participants neither agreed nor strongly disagreed about causes and cures regarding GID, but that these beliefs were logically related.'
J_Infect_2010_Mar_60(3-2)_229-237.txt|b'Conclusions Our data provide insight in the epidemiology, clinical profile and virological features of mild symptomatic dengue patients who presented to PHC with AUF in Vietnam.'
J_Infect_2015_Sep_71(3)_338-346.txt|b'Conclusions Our results suggest flucloxacillin in combination with a single protein-synthesis inhibitor such as clindamycin would give the best treatment outcome.'
J_Kidney_2016_Feb_27_2(1)_114.txt|b'Our data reveal that cold storage plus transplantation exacerbated renal and mitochondrial dysfunction when compared to autotransplantation alone.'
J_Mar_Biol_2011_2011_518516.txt|b'These findings demonstrate population connectivity differences among species at biogeographic and evolutionary timescales, which likely translates into differences in dispersal ability at ecological and demographic timescales.'
J_Math_Neurosci_2011_Oct_27_1_10.txt|"b""We show that the mean residence time of a Brownian particle, such as an ion or molecule inside the spine, and of a receptor on its membrane, prior to absorption at the dendritic shaft depends strongly on the curvature of the connection of the spine head to the neck and on the neck's length."""
J_Math_Neurosci_2013_Aug_14_3_13.txt|b'Summing up, we aim at enlightening the contribution of transient effects in predicting the phase response and showing the limits of the phase reduction approach to prevent from falling into wrong predictions in synchronization problems.'
J_Math_Neurosci_2015_Sep_1_5_19.txt|b'2:10, 2012) by discussing the well-posedness of the stochastic differential equations which govern the behavior of the ion channels and the amount of available neurotransmitters.'
J_Med_Internet_Res_2014_Apr_14_16(4)_e107.txt|b'Objective This study describes the characteristics of four medical networks, analyzes their theoretical dissemination potential, their actual dissemination, and the propagation and distribution of tweets.'
J_Med_Internet_Res_2014_Dec_2_16(12)_e267.txt|b'Objective The intent of the study was to provide the first national profile of Australian doctors\xe2\x80\x99 attitudes toward and use of online social media.'
J_Med_Internet_Res_2014_Feb_17_16(2)_e50.txt|b'CAT required fewer items than NAT (an efficiency gain of 32%), suggesting a reduced burden for respondents.'
J_Med_Syst_2016_Jan_20_40_76.txt|b'This study was performed in the domain of decision-supported medication reviews.'
J_Nanobiotechnology_2007_Mar_23_5_2.txt|b'Glass surfaces were functionalized with -CF3, -CH3, -COOH, and -NH2 groups using the technique of self-assembled monolayers (SAM), and diatom cells were subsequently cultured on these surfaces.'
J_Nanobiotechnology_2012_Feb_17_10_9.txt|b'The results are significant to the continued applicability of nanoparticles used for the molecular labeling of cancer cells to determine tumor heterogeneity, grade, and chemotherapeutic resistivity.'
J_Nanobiotechnology_2015_Mar_21_13_22.txt|b'Conclusion Taken together, our study demonstrated that PTX-ETP/PLGA NP based combination therapy holds significant potential towards the treatment of osteosarcoma.'
J_Parkinsons_Dis_2013_3(1)_1-11.txt|b'The definition of Parkinson\xe2\x80\x99s disease (PD) is changing with the expansion of clinical phenomenology and improved understanding of environmental and genetic influences that impact on the pathogenesis of the disease at the cellular and molecular level.'
J_Res_Read_2016_May_25_39(2)_171-188.txt|b'These results are consistent with previous findings of adults with low literacy skills reliance on orthographic codes.'
Life_Sci_2016_Nov_15_165_26-34.txt|b'Glabridin (30\xc2\xa0\xce\xbcM) approximately doubled tissue [cyclic GMP].'
Microb_Pathog_2016_Aug_97_19-26.txt|b'In the present study, we established an improved SBA against S. Typhi using a semi-automated colony-counting system with a square agar plate harboring 24 samples.'
Neuropsychobiology_2013_Feb_4_67(2)_84-92.txt|b'Conclusions The findings support an association between rs1344706 and alterations in DLPFC activity during WM for faces.'
Neurosci_Lett_2016_Oct_6_632_50-54.txt|b'These results indicate that GABA-mediated neural inhibition may be a key factor determining cognitive performance and suggests a physiological mechanism linking surround suppression and intelligence.'
PMC4854284.txt|b'We have examined this phenomenon in the context of the patterning of the ventral neural tube in response to a gradient of the morphogen Sonic hedgehog (SHH) in the chick and zebra finch, two species that differ in size during the time of neural tube patterning.'
PMC5118370.txt|b'Rechallenge experiments revealed that high affinity, somatically hypermutated Plasmodium-specific IgM+ MBCs proliferated and gave rise to antibody-secreting cells that dominated the early secondary response to parasite rechallenge.'
PMC5142738.txt|b'The results indicate that species richness is comparable between both treatment groups, however, significant differences were found in the compositions of the gut microbiota between the rearing groups.'
PMC5189929.txt|b'Conclusions: Post SG, acyl-ghrelin initiates a temporal hierarchy of molecular events in the gut-brain axis that may both explain the sustained lower body weight and suggest intervention into the cannabinoid pathways for additional therapeutic benefits.'
PMC5209940.txt|b'Results Findings from the study showed how institutional surveillance, symbolised by the Journey Board led to an institutional momentum that in its attempt to keep women safe actually introduced new areas of risk, a situation which we named the Paradox of the institution.'
PMC5215617.txt|b'Results The median duration of exclusive breastfeeding was 135 days in the counselling group and 75 days in the usual health message group (p < 0.001).'
PMC5217206.txt|b'Conclusion HPV 51 and 52 were independently associated with abnormal cervical cytology in both HIV negative/positive FSW.'
PMC5220391.txt|b'Our results showed that Tq mediated posttranslational modification of histone acetylation, inhibited HDACs expression, and induced proapoptotic signaling pathways.'
PMC5224539.txt|b'The obtained results support the use of Trifolium flowers as healthy food ingredients.'
PMC5226107.txt|b'Findings We extend the previous findings of a multi-generation replicated cage experiment in Drosophila subobscura, where mtDNA polymorphism was maintained in a laboratory setting.'
PMC5242297.txt|b'Taken together, our data indicate that microglia and MDM display distinct phenotypes in AD models and highlight the specific effects of normal aging vs A\xce\xb2 peptides on inflammatory processes that occur during the disease progression.'
PMC5247818.txt|b'Transcriptomic analysis supports the high propensity of ST8 strain to chronicity of infection and to a higher potential cytotoxicity.'
PMC5258800.txt|b'Our data show that the spin\xe2\x80\x93lattice relaxations of the 23Na and 27Al nuclei are mainly governed by interaction of nuclear quadrupole moments with electric field gradients of the crystal, modulated by translational motion of water molecules in the mordenite channels.'
PMC5259675.txt|b'The results showed that norathyriol inhibited \xce\xb1-glucosidase in a noncompetitive manner with an IC50 value of 3.12\xe2\x80\x89\xce\xbcM, which is more potent than mangiferin (IC50 = 358.54\xe2\x80\x89\xce\xbcM) and positive drug acarbose (IC50 = 479.2\xe2\x80\x89\xce\xbcM) in the zymological experiment.'
PMC5267367.txt|b'Conclusions MPTP mice do not present behavioural deficits in olfactory search, yet immunoreactivity reveals modifications in the olfactory bulb, and suggests changes in intracellular signal processing, possibly linked to neuron survival after MPTP.'
PMC5267519.txt|b'Together, these results demonstrate that Corning HepatoCells is a reliable in vitro model for drug-drug interaction studies during the early phase of drug testing.'
PMC5299477.txt|b'Our results show that behavioural reactions are not always linked with hormonal responses to stress, and further emphasise the importance of investigating effects of early\xe2\x80\x90life experiences.'
PMC5299736.txt|b'The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated.Background Clinical fetal weight estimation is a common practice in obstetrics.'
PMC5301349.txt|b'Further findings from definitive trials are required to understand the cost/benefit, however, the findings from this study support the feasibility and acceptability of integrating QbTest in the ADHD care pathway.'
PMC5306245.txt|b'The findings offer strong proof of active decision-making during the demographic transition and provide an important contribution to the literature on the role of mortality for reproductive change.'
PMC5314469.txt|b'The GC-MS analysis had quantitatively identified 20 organic compounds (fatty acids or their derivatives, aromatic acid esters, glycosides and phenol) from the larval extract of L. cuprina, and 5 fatty acid derivatives with known antimicrobial activities from S. peregrina and M. domestica.'
PMC5322618.txt|b'Conclusion We concluded that it is necessary for all health professionals to manage labour pain effectively taking the socio-cultural context into consideration.'
